frame_id,timestamp(ns),T_imu_wrt_vio_x(m),T_imu_wrt_vio_y(m),T_imu_wrt_vio_z(m),roll(rad),pitch(rad),yaw(rad)
226,101501825066,0.0061,0.0049,-0.0961,0.0608,0.0187,0.0407
227,101528167551,0.0059,0.0048,-0.0958,0.0606,0.0188,0.0407
228,101563271924,0.0061,0.0047,-0.0957,0.0604,0.0189,0.0407
229,101598375644,0.0063,0.0047,-0.0957,0.0605,0.0186,0.0408
230,101633492460,0.0061,0.0047,-0.0956,0.0603,0.0187,0.0407
231,101659858068,0.0061,0.0047,-0.0956,0.0602,0.0187,0.0408
232,101694981904,0.0062,0.0047,-0.0957,0.0603,0.0186,0.0408
233,101730102382,0.0060,0.0048,-0.0958,0.0601,0.0185,0.0408
234,101765199932,0.0060,0.0050,-0.0958,0.0599,0.0185,0.0409
235,101800379062,0.0059,0.0051,-0.0957,0.0598,0.0186,0.0410
236,101826702016,0.0058,0.0051,-0.0957,0.0598,0.0186,0.0411
237,101861818815,0.0055,0.0052,-0.0957,0.0596,0.0186,0.0411
238,101896934042,0.0052,0.0054,-0.0956,0.0594,0.0188,0.0413
239,101932105570,0.0051,0.0054,-0.0956,0.0593,0.0187,0.0414
240,101967218151,0.0050,0.0054,-0.0953,0.0592,0.0188,0.0414
241,102002342915,0.0047,0.0054,-0.0953,0.0591,0.0188,0.0415
242,102028661472,0.0049,0.0056,-0.0952,0.0591,0.0188,0.0416
243,102063769563,0.0048,0.0055,-0.0952,0.0591,0.0188,0.0417
244,102098852045,0.0048,0.0053,-0.0952,0.0590,0.0187,0.0418
245,102133941322,0.0050,0.0054,-0.0952,0.0591,0.0186,0.0419
246,102169029080,0.0047,0.0054,-0.0952,0.0590,0.0186,0.0419
247,102195343692,0.0049,0.0053,-0.0952,0.0590,0.0186,0.0419
248,102230440478,0.0053,0.0052,-0.0948,0.0589,0.0186,0.0420
249,102265529524,0.0055,0.0052,-0.0947,0.0589,0.0186,0.0422
250,102300620013,0.0056,0.0053,-0.0948,0.0589,0.0185,0.0422
251,102326957893,0.0055,0.0053,-0.0948,0.0589,0.0185,0.0422
